Global frequency set at 1000000000000 ticks per second
501953000: system.mem_ctrl: Hit in Host Cache: 0x226c8
501993000: system.mem_ctrl: Hit in Dirty Area: 0xb2c98
502134000: system.mem_ctrl: Hit in Host Cache: 0x226c8
502174000: system.mem_ctrl: Hit in Classify Area: 0xb2f20
502214000: system.mem_ctrl: Hit in Host Cache: 0x226c8
502254000: system.mem_ctrl: Hit in Host Cache: 0x226d0
502294000: system.mem_ctrl: Hit in Host Cache: 0x226b0
502334000: system.mem_ctrl: Hit in Host Cache: 0x226b0
502374000: system.mem_ctrl: Hit in Host Cache: 0x226b8
502414000: system.mem_ctrl: Hit in Host Cache: 0x226b8
502454000: system.mem_ctrl: Hit in Classify Area: 0xb2f28
502494000: system.mem_ctrl: Hit in Host Cache: 0x226b8
502534000: system.mem_ctrl: Hit in Host Cache: 0x226c0
502574000: system.mem_ctrl: Hit in Host Cache: 0x226c0
502614000: system.mem_ctrl: Hit in Host Cache: 0x226c8
502654000: system.mem_ctrl: Hit in Dirty Area: 0xb2ca8
502795000: system.mem_ctrl: Hit in Host Cache: 0x226c8
502835000: system.mem_ctrl: Hit in Classify Area: 0xb2f30
502875000: system.mem_ctrl: Hit in Host Cache: 0x226c8
502915000: system.mem_ctrl: Hit in Host Cache: 0x226d0
502955000: system.mem_ctrl: Hit in Host Cache: 0x226b0
502995000: system.mem_ctrl: Hit in Host Cache: 0x226b0
503035000: system.mem_ctrl: Hit in Host Cache: 0x226b8
503075000: system.mem_ctrl: Hit in Host Cache: 0x226b8
503115000: system.mem_ctrl: Hit in Classify Area: 0xb2f38
503155000: system.mem_ctrl: Hit in Host Cache: 0x226b8
503195000: system.mem_ctrl: Hit in Host Cache: 0x226c0
503235000: system.mem_ctrl: Hit in Host Cache: 0x226c0
503275000: system.mem_ctrl: Hit in Host Cache: 0x226c8
503315000: system.mem_ctrl: Hit in Dirty Area: 0xb2cb0
503456000: system.mem_ctrl: Hit in Host Cache: 0x226c8
503496000: system.mem_ctrl: Migrated Page 0xb2000 to Host Cache
503496000: system.mem_ctrl: Hit in Classify Area: 0xb2f40
503667000: system.mem_ctrl: Hit in Host Cache: 0x226c8
503707000: system.mem_ctrl: Hit in Host Cache: 0x226d0
503747000: system.mem_ctrl: Hit in Host Cache: 0x226b0
503787000: system.mem_ctrl: Hit in Host Cache: 0x226b0
503827000: system.mem_ctrl: Hit in Host Cache: 0x226b8
503867000: system.mem_ctrl: Hit in Host Cache: 0x226b8
503907000: system.mem_ctrl: Hit in Host Cache: 0xb2f48
503947000: system.mem_ctrl: Hit in Host Cache: 0x226b8
503987000: system.mem_ctrl: Hit in Host Cache: 0x226c0
504027000: system.mem_ctrl: Hit in Host Cache: 0x226c0
504067000: system.mem_ctrl: Hit in Host Cache: 0x226c8
504107000: system.mem_ctrl: Hit in Host Cache: 0xb2cb8
504148000: system.mem_ctrl: Hit in Host Cache: 0x226c8
504188000: system.mem_ctrl: Hit in Host Cache: 0xb2f50
504228000: system.mem_ctrl: Hit in Host Cache: 0x226c8
504268000: system.mem_ctrl: Hit in Host Cache: 0x226d0
504308000: system.mem_ctrl: Hit in Host Cache: 0x226b0
